0.0362559 3.87731479234737e-08 2.723033531764798e-05 0.4465879212550454 18
0.0725118 2.580232973607516e-07 0.000269722035063474 0.4348473615797065 62
0.108768 8.715702710017607e-07 0.0007192483280770763 0.3948056699175455 98
0.145024 2.141349590257068e-06 0.002493850027322998 0.4739878279192994 210
0.18128 4.485610849417651e-06 0.005382363130232374 0.5156463163207072 350
0.217535 6.866180366125781e-06 0.008581356978596686 0.4658314545059578 450
0.253791 1.162732552007772e-05 0.01268150591673475 0.4665873041063857 602
0.290047 1.677436234132471e-05 0.01947368408562309 0.4640550696343477 762
0.326303 2.326493197486704e-05 0.03160944653671983 0.4872361865964979 1142
0.362559 3.214278913906613e-05 0.04162949670012364 0.4795800907501669 1250
0.398815 4.139034209596895e-05 0.0561258064063368 0.4744836515998075 1458
0.435071 5.883687917552277e-05 0.07116126989294058 0.4925982836417922 1814
0.471327 7.136508260646018e-05 0.09195418169676173 0.4841464493730902 2178
0.507583 9.323971126400001e-05 0.1148222722678211 0.4964673241850819 2498
0.543839 0.0001152127326784219 0.1483823532260248 0.5094233521380772 2622
0.580094 0.0001358433728448089 0.1706757148236779 0.4898943128884551 3191
0.61635 0.0001606672198928971 0.1982766962454733 0.4798991985356656 3044
0.652606 0.000195875053485149 0.2286283564035168 0.482106365558169 2736
0.688862 0.0002248249806536142 0.2788459095501004 0.4835118637712381 2276
0.725118 0.0002701219465238698 0.3165187117670729 0.4873637800585626 2016
0.761374 0.0002944373853547545 0.3553185256555492 0.4654550668209294 1640
0.79763 0.0003636351215601533 0.4044744639332882 0.4853635134219079 1056
0.833886 0.0003698162293806392 0.4786329288768274 0.4599546052111956 683
0.870142 0.0004444882006019444 0.5047170751712577 0.4633851408998096 350
0.906397 0.0005608814072033286 0.6012871863740525 0.5083927364395578 192
0.942653 0.0007096656390876675 0.5756322198928149 0.5248826374334776 44
0.978909 0.0004094929088428974 0.5101932695768261 0.3132485963015254 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
0.217535 -nan -nan -nan 450
0.253791 -nan -nan -nan 602
0.290047 -nan -nan -nan 762
0.326303 -nan -nan -nan 1142
0.362559 -nan -nan -nan 1250
0.398815 -nan -nan -nan 1458
0.435071 -nan -nan -nan 1814
0.471327 -nan -nan -nan 2178
0.507583 -nan -nan -nan 2498
0.543839 -nan -nan -nan 2622
0.580094 -nan -nan -nan 3191
0.61635 -nan -nan -nan 3044
0.652606 -nan -nan -nan 2736
0.688862 -nan -nan -nan 2276
0.725118 -nan -nan -nan 2016
0.761374 -nan -nan -nan 1640
0.79763 -nan -nan -nan 1056
0.833886 -nan -nan -nan 683
0.870142 -nan -nan -nan 350
0.906397 -nan -nan -nan 192
0.942653 -nan -nan -nan 44
0.978909 -nan -nan -nan 25


0.0362559 -nan -nan -nan 18
0.0725118 -nan -nan -nan 62
0.108768 -nan -nan -nan 98
0.145024 -nan -nan -nan 210
0.18128 -nan -nan -nan 350
