0.114651 3.87733278851849e-07 0.002723046170486778 0.4465587201606174 18
0.229303 2.580244949489129e-06 0.02697232869561014 0.434779518650565 62
0.343954 8.715743162975322e-06 0.07192516664140863 0.3945319188307013 98
0.458606 2.141359529070003e-05 0.2493861602366075 0.4738289883177526 210
0.573257 4.485631668766435e-05 0.5382388112196892 0.5154250424778013 350
0.687908 6.866212234442139e-05 0.8581396808686155 0.4656441240980916 450
0.80256 0.0001162737948629073 1.268156477778043 0.4657975895140081 602
0.917211 0.0001677444019622702 1.947377447290281 0.463320251405158 762
1.03186 5.016138737951075e-05 0.6657795973128839 0.103820907908277 1142
1.14651 3.760001015513824e-36 4.15582018498273e-32 5.61070617756668e-33 1250
1.26117 4.753647662280871e-36 5.2683807629537e-32 5.445585997408409e-33 1458
1.37582 5.336980447669437e-36 6.644319805600746e-32 4.4810411088445e-33 1814
1.49047 6.489438148461439e-36 7.346466917459852e-32 4.390160167923909e-33 2178
1.60512 7.674358697621504e-36 9.341984421508399e-32 4.067021324502156e-33 2498
1.71977 8.302150637103953e-36 9.910372150123225e-32 3.584452801010991e-33 2622
1.83442 8.334666436752727e-36 9.775902090139243e-32 3.023538795382453e-33 3191
1.94907 7.26134139861891e-36 9.050550180397575e-32 2.304404911590262e-33 3044
2.06373 6.578965299589051e-36 8.133468807672776e-32 1.688766675379426e-33 2736
2.17838 6.847576720126591e-36 7.280027356506742e-32 1.517058094942311e-33 2276
2.29303 7.688645137926044e-36 8.934764835682637e-32 1.478300701340786e-33 2016
2.40768 8.29304138305227e-36 1.010355432127229e-31 1.359927372293283e-33 1640
2.52233 8.186036568906794e-36 9.1059244337995e-32 1.158445237351058e-33 1056
2.63698 7.620796547339139e-36 8.560762462234373e-32 9.967121993624823e-34 683
2.75163 7.523803362516587e-36 8.639855204411504e-32 9.057802777595279e-34 350
2.86628 8.640221137691233e-36 8.607997522509442e-32 8.593307035799899e-34 192
2.98094 8.074025613004331e-36 1.076025425582065e-31 8.271505091915699e-34 44
3.09559 7.747383745957289e-36 7.505444010185555e-32 5.688389064275164e-34 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
1.60512 -nan -nan -nan 2498
1.71977 -nan -nan -nan 2622
1.83442 -nan -nan -nan 3191
1.94907 -nan -nan -nan 3044
2.06373 -nan -nan -nan 2736
2.17838 -nan -nan -nan 2276
2.29303 -nan -nan -nan 2016
2.40768 -nan -nan -nan 1640
2.52233 -nan -nan -nan 1056
2.63698 -nan -nan -nan 683
2.75163 -nan -nan -nan 350
2.86628 -nan -nan -nan 192
2.98094 -nan -nan -nan 44
3.09559 -nan -nan -nan 25


0.114651 -nan -nan -nan 18
0.229303 -nan -nan -nan 62
0.343954 -nan -nan -nan 98
0.458606 -nan -nan -nan 210
0.573257 -nan -nan -nan 350
0.687908 -nan -nan -nan 450
0.80256 -nan -nan -nan 602
0.917211 -nan -nan -nan 762
1.03186 -nan -nan -nan 1142
1.14651 -nan -nan -nan 1250
1.26117 -nan -nan -nan 1458
1.37582 -nan -nan -nan 1814
1.49047 -nan -nan -nan 2178
