0.144338 6.145150555618451e-07 0.006839974061875381 0.4465575229504334 18
0.288675 4.089407474117142e-06 0.06775134063669243 0.4347767499946585 62
0.433013 1.381350450478993e-05 0.1806676212668517 0.39452073501982 98
0.57735 3.393821840335864e-05 0.6264289184247109 0.4738227215889036 210
0.721688 7.109238088493818e-05 1.351993053846181 0.5154166844212008 350
0.866025 0.0001088219924094549 2.155546689636196 0.4656378675249728 450
1.01036 6.127746977986859e-05 0.9639021019350676 0.1485721141805311 602
1.1547 2.157922598531256e-36 3.889275438085933e-32 3.663110000297821e-33 762
1.29904 2.254255048878859e-36 4.200924477912259e-32 2.722678908849108e-33 1142
1.44338 2.974378415597645e-36 5.86614493162056e-32 2.673369374166872e-33 1250
1.58771 3.300443817996697e-36 6.507542631809756e-32 2.323365934800198e-33 1458
1.73205 4.877558284863818e-36 8.349661302946435e-32 2.536215756714173e-33 1814
1.87639 4.74756954390402e-36 1.043168918209514e-31 2.124477493092199e-33 2178
2.02073 5.421053451867501e-36 9.611324518743883e-32 1.840275602102703e-33 2498
2.16506 6.130253516048934e-36 1.312980310883237e-31 1.74454530248954e-33 2622
2.3094 5.64624700124592e-36 1.045727507391896e-31 1.318628225244447e-33 3191
2.45374 5.127157569863437e-36 9.453985975427881e-32 1.02484576968589e-33 3044
2.59808 4.742215028493727e-36 8.452780022959743e-32 7.796609798846496e-34 2736
2.74241 5.283455216779455e-36 9.118905761004877e-32 7.326196176441315e-34 2276
2.88675 5.665694609422584e-36 9.329387297626267e-32 6.819099158121136e-34 2016
3.03109 6.510802044582545e-36 1.114897418777702e-31 6.859087641490971e-34 1640
3.17543 5.657505711247883e-36 1.075515450399349e-31 5.280554545952981e-34 1056
3.31976 5.184805110316891e-36 1.131244322640502e-31 4.537011059773253e-34 683
3.4641 5.809335610260345e-36 1.192310999001627e-31 4.426870858509263e-34 350
3.60844 7.747072140171901e-36 1.218852968480453e-31 4.459950477017907e-34 192
3.75278 6.838258131153051e-36 9.343975309693898e-32 3.8358047743996e-34 44
3.89711 1.029662189979156e-35 8.012183526044378e-32 4.602257567562806e-34 25


0.144338 -nan -nan -nan 18
