0.0723401 1.543591240500239e-07 0.0004315729662944611 0.4465636250097764 18
0.14468 1.027212189311724e-06 0.004274818410783605 0.4347908721283185 62
0.21702 3.469793678974892e-06 0.01139935042414711 0.3945777706001045 98
0.28936 8.524890671367182e-06 0.03952497247078545 0.473854866268182 210
0.361701 1.785758955904151e-05 0.08530495106812927 0.51545988040043 350
0.434041 2.733483463711977e-05 0.136005731953288 0.4656709523761425 450
0.506381 4.628934915947315e-05 0.2009888994011217 0.4659231774186807 602
0.578721 6.678013047740069e-05 0.3086379770199431 0.4634311914549679 762
0.651061 9.261962757154947e-05 0.5009774006338771 0.4872109868121188 1142
0.723401 0.0001279631147140852 0.6597849482333799 0.479176926369051 1250
0.795741 0.0001647783915285988 0.8895366317263219 0.4742934796957385 1458
0.868081 0.0002342345054895373 1.127833351257 0.4911993543763518 1814
0.940421 0.0002841103244662841 1.457379738496906 0.4831074519135777 2178
1.01276 0.0001022750989041207 0.5129492301381003 0.1377407799096063 2498
1.0851 1.337218417476043e-35 7.105002125002433e-32 1.550132270205727e-32 2622
1.15744 1.53254437865881e-35 7.940198046409191e-32 1.423220850485144e-32 3191
1.22978 1.572873534213534e-35 8.243237984767196e-32 1.25784992094472e-32 3044
1.30212 1.632793738557003e-35 8.87150734035155e-32 1.093657941162802e-32 2736
1.37446 1.604128333611374e-35 9.140064958512935e-32 9.443577236034897e-33 2276
1.4468 1.648998872557856e-35 8.150023087812685e-32 8.240678180267152e-33 2016
1.51914 1.402423301312708e-35 7.500772167445125e-32 6.498452516697209e-33 1640
1.59148 1.492038655632464e-35 7.890955567710627e-32 5.641377154251824e-33 1056
1.66382 1.508862984281119e-35 7.607869735580856e-32 5.151228939008379e-33 683
1.73616 1.736033322996234e-35 8.408093584611398e-32 4.956845045912188e-33 350
1.8085 1.713401459856227e-35 7.968096301947379e-32 4.235889163730508e-33 192
1.88084 1.635083716656544e-35 5.518252161574706e-32 4.07118162855788e-33 44
1.95318 2.528871980579007e-35 8.289458941745755e-32 4.181767466668799e-33 25


0.0723401 -nan -nan -nan 18
0.14468 -nan -nan -nan 62
0.21702 -nan -nan -nan 98
0.28936 -nan -nan -nan 210
0.361701 -nan -nan -nan 350
0.434041 -nan -nan -nan 450
0.506381 -nan -nan -nan 602
0.578721 -nan -nan -nan 762
0.651061 -nan -nan -nan 1142
0.723401 -nan -nan -nan 1250
0.795741 -nan -nan -nan 1458
0.868081 -nan -nan -nan 1814
0.940421 -nan -nan -nan 2178
1.01276 -nan -nan -nan 2498
1.0851 -nan -nan -nan 2622
1.15744 -nan -nan -nan 3191
1.22978 -nan -nan -nan 3044
1.30212 -nan -nan -nan 2736
1.37446 -nan -nan -nan 2276
1.4468 -nan -nan -nan 2016
1.51914 -nan -nan -nan 1640
1.59148 -nan -nan -nan 1056
1.66382 -nan -nan -nan 683
1.73616 -nan -nan -nan 350
1.8085 -nan -nan -nan 192
1.88084 -nan -nan -nan 44
1.95318 -nan -nan -nan 25


0.0723401 -nan -nan -nan 18
0.14468 -nan -nan -nan 62
0.21702 -nan -nan -nan 98
0.28936 -nan -nan -nan 210
0.361701 -nan -nan -nan 350
0.434041 -nan -nan -nan 450
0.506381 -nan -nan -nan 602
0.578721 -nan -nan -nan 762
0.651061 -nan -nan -nan 1142
0.723401 -nan -nan -nan 1250
0.795741 -nan -nan -nan 1458
0.868081 -nan -nan -nan 1814
0.940421 -nan -nan -nan 2178
1.01276 -nan -nan -nan 2498
1.0851 -nan -nan -nan 2622
1.15744 -nan -nan -nan 3191
1.22978 -nan -nan -nan 3044
1.30212 -nan -nan -nan 2736
1.37446 -nan -nan -nan 2276
1.4468 -nan -nan -nan 2016
1.51914 -nan -nan -nan 1640
1.59148 -nan -nan -nan 1056
1.66382 -nan -nan -nan 683
1.73616 -nan -nan -nan 350
1.8085 -nan -nan -nan 192
1.88084 -nan -nan -nan 44
1.95318 -nan -nan -nan 25


0.0723401 -nan -nan -nan 18
0.14468 -nan -nan -nan 62
0.21702 -nan -nan -nan 98
0.28936 -nan -nan -nan 210
0.361701 -nan -nan -nan 350
0.434041 -nan -nan -nan 450
0.506381 -nan -nan -nan 602
0.578721 -nan -nan -nan 762
0.651061 -nan -nan -nan 1142
0.723401 -nan -nan -nan 1250
0.795741 -nan -nan -nan 1458
0.868081 -nan -nan -nan 1814
0.940421 -nan -nan -nan 2178
1.01276 -nan -nan -nan 2498
1.0851 -nan -nan -nan 2622
1.15744 -nan -nan -nan 3191
1.22978 -nan -nan -nan 3044
1.30212 -nan -nan -nan 2736
1.37446 -nan -nan -nan 2276
1.4468 -nan -nan -nan 2016
1.51914 -nan -nan -nan 1640
1.59148 -nan -nan -nan 1056
1.66382 -nan -nan -nan 683
1.73616 -nan -nan -nan 350
1.8085 -nan -nan -nan 192
1.88084 -nan -nan -nan 44
1.95318 -nan -nan -nan 25


0.0723401 -nan -nan -nan 18
0.14468 -nan -nan -nan 62
0.21702 -nan -nan -nan 98
0.28936 -nan -nan -nan 210
0.361701 -nan -nan -nan 350
0.434041 -nan -nan -nan 450
0.506381 -nan -nan -nan 602
0.578721 -nan -nan -nan 762
0.651061 -nan -nan -nan 1142
0.723401 -nan -nan -nan 1250
0.795741 -nan -nan -nan 1458
0.868081 -nan -nan -nan 1814
0.940421 -nan -nan -nan 2178
1.01276 -nan -nan -nan 2498
1.0851 -nan -nan -nan 2622
1.15744 -nan -nan -nan 3191
1.22978 -nan -nan -nan 3044
1.30212 -nan -nan -nan 2736
1.37446 -nan -nan -nan 2276
1.4468 -nan -nan -nan 2016
1.51914 -nan -nan -nan 1640
1.59148 -nan -nan -nan 1056
1.66382 -nan -nan -nan 683
1.73616 -nan -nan -nan 350
1.8085 -nan -nan -nan 192
1.88084 -nan -nan -nan 44
1.95318 -nan -nan -nan 25


0.0723401 -nan -nan -nan 18
0.14468 -nan -nan -nan 62
0.21702 -nan -nan -nan 98
0.28936 -nan -nan -nan 210
0.361701 -nan -nan -nan 350
0.434041 -nan -nan -nan 450
0.506381 -nan -nan -nan 602
0.578721 -nan -nan -nan 762
0.651061 -nan -nan -nan 1142
0.723401 -nan -nan -nan 1250
0.795741 -nan -nan -nan 1458
0.868081 -nan -nan -nan 1814
0.940421 -nan -nan -nan 2178
1.01276 -nan -nan -nan 2498
1.0851 -nan -nan -nan 2622
1.15744 -nan -nan -nan 3191
1.22978 -nan -nan -nan 3044
1.30212 -nan -nan -nan 2736
1.37446 -nan -nan -nan 2276
1.4468 -nan -nan -nan 2016
1.51914 -nan -nan -nan 1640
1.59148 -nan -nan -nan 1056
1.66382 -nan -nan -nan 683
1.73616 -nan -nan -nan 350
1.8085 -nan -nan -nan 192
1.88084 -nan -nan -nan 44
1.95318 -nan -nan -nan 25


0.0723401 -nan -nan -nan 18
0.14468 -nan -nan -nan 62
0.21702 -nan -nan -nan 98
0.28936 -nan -nan -nan 210
0.361701 -nan -nan -nan 350
0.434041 -nan -nan -nan 450
0.506381 -nan -nan -nan 602
0.578721 -nan -nan -nan 762
0.651061 -nan -nan -nan 1142
0.723401 -nan -nan -nan 1250
0.795741 -nan -nan -nan 1458
0.868081 -nan -nan -nan 1814
0.940421 -nan -nan -nan 2178
1.01276 -nan -nan -nan 2498
1.0851 -nan -nan -nan 2622
