0.0910708 2.446428040251637e-07 0.001084062628857965 0.4465606176391089 18
0.182142 1.62802213259851e-06 0.01073786183614728 0.4347839088147946 62
0.273212 5.499254159652824e-06 0.02863388291947148 0.3945496506845821 98
0.364283 1.351104556133704e-05 0.09928227416601206 0.4738389605911258 210
0.455354 2.830238127956209e-05 0.2142764184322329 0.5154384064112014 350
0.546425 4.332280734500913e-05 0.3416310631954661 0.4656542754599362 450
0.637496 7.33636980937058e-05 0.5048614525788405 0.4658458248224727 602
0.728566 0.0001058394084158724 0.775263797472447 0.4633625462499569 762
0.819637 0.0001467922647017029 1.258398742157878 0.4872250065053739 1142
0.910708 0.0002028079349877945 1.65730539521906 0.4791513939296043 1250
1.00178 9.924396890206494e-05 0.8087736961452744 0.1759275040034652 1458
1.09285 6.962482591651821e-36 5.564130895453247e-32 9.78780938037743e-33 1814
1.18392 8.169424289539415e-36 6.521548385583327e-32 9.068598346974927e-33 2178
1.27499 9.024183822511906e-36 7.49326378289953e-32 7.90220460288571e-33 2498
1.36606 1.003661325947002e-35 8.378942790092885e-32 7.580881402493943e-33 2622
1.45713 1.105245620769868e-35 8.831005110328257e-32 6.624627684958089e-33 3191
1.5482 1.070105606494186e-35 9.018070231894408e-32 5.329467260210692e-33 3044
1.63927 9.110216237827169e-36 8.023208144145145e-32 4.130479050470584e-33 2736
1.73035 9.442431826476728e-36 7.423544379337977e-32 3.338566997930448e-33 2276
1.82142 8.964065144485828e-36 7.455584502232528e-32 2.869721612698728e-33 2016
1.91249 1.026526424948264e-35 8.503292431911702e-32 2.945360354692167e-33 1640
2.00356 1.050511916559084e-35 8.129941736943865e-32 2.549548005864368e-33 1056
2.09463 9.736620323226457e-36 8.977290228902535e-32 2.160201441415726e-33 683
2.1857 9.597184159752777e-36 8.290970239422325e-32 1.863685206558923e-33 350
2.27677 1.251840328851002e-35 7.82021553676941e-32 1.971252756728896e-33 192
2.36784 1.328218147630609e-35 7.916294357979485e-32 2.029199655254747e-33 44
2.45891 1.382874059309119e-35 7.401989193365856e-32 1.627785846781186e-33 25


0.0910708 -nan -nan -nan 18
0.182142 -nan -nan -nan 62
0.273212 -nan -nan -nan 98
0.364283 -nan -nan -nan 210
0.455354 -nan -nan -nan 350
0.546425 -nan -nan -nan 450
0.637496 -nan -nan -nan 602
0.728566 -nan -nan -nan 762
0.819637 -nan -nan -nan 1142
0.910708 -nan -nan -nan 1250
1.00178 -nan -nan -nan 1458
1.09285 -nan -nan -nan 1814
1.18392 -nan -nan -nan 2178
1.27499 -nan -nan -nan 2498
1.36606 -nan -nan -nan 2622
1.45713 -nan -nan -nan 3191
1.5482 -nan -nan -nan 3044
1.63927 -nan -nan -nan 2736
1.73035 -nan -nan -nan 2276
1.82142 -nan -nan -nan 2016
1.91249 -nan -nan -nan 1640
2.00356 -nan -nan -nan 1056
2.09463 -nan -nan -nan 683
2.1857 -nan -nan -nan 350
2.27677 -nan -nan -nan 192
2.36784 -nan -nan -nan 44
2.45891 -nan -nan -nan 25


0.0910708 -nan -nan -nan 18
0.182142 -nan -nan -nan 62
0.273212 -nan -nan -nan 98
0.364283 -nan -nan -nan 210
0.455354 -nan -nan -nan 350
0.546425 -nan -nan -nan 450
0.637496 -nan -nan -nan 602
0.728566 -nan -nan -nan 762
0.819637 -nan -nan -nan 1142
0.910708 -nan -nan -nan 1250
1.00178 -nan -nan -nan 1458
1.09285 -nan -nan -nan 1814
1.18392 -nan -nan -nan 2178
1.27499 -nan -nan -nan 2498
1.36606 -nan -nan -nan 2622
1.45713 -nan -nan -nan 3191
1.5482 -nan -nan -nan 3044
1.63927 -nan -nan -nan 2736
1.73035 -nan -nan -nan 2276
1.82142 -nan -nan -nan 2016
1.91249 -nan -nan -nan 1640
2.00356 -nan -nan -nan 1056
2.09463 -nan -nan -nan 683
2.1857 -nan -nan -nan 350
2.27677 -nan -nan -nan 192
2.36784 -nan -nan -nan 44
2.45891 -nan -nan -nan 25


0.0910708 -nan -nan -nan 18
0.182142 -nan -nan -nan 62
