0    0.0926073297050898    9.28243984751494e-05    0.000826656278839256    -8.470329472543e-21    0.0926073297050898    -3.09414661583831e-05    0.611923988148292    0    0.104724461143577    0.198251271525982    0.599775915243647
0.1    60.2356190906253    0.0205470586086467    -24.8182597663617    -9.54097911787244e-18    60.2356190906253    -0.00684901953621556    -1824.52512369527    0    23.4897240028034    58.9276303856757    -1787.78607762698
0.2    40849.8808903228    13.6020909122802    -15725.4494554938    1.66533453693773e-15    40849.8808903228    -4.53403030409341    -1186015.92108136    0    15883.7751665095    41021.8086922508    -1161054.34938785
0.3    27782909.2577313    9060.09628321171    -10021321.9802532    -5.96855898038484e-13    27782909.2577313    -3020.0320944039    -772588281.10411    0    10802168.9015998    28572816.2753611    -755610560.780073
0.4    18972591831.1078    6062072.21898057    -6421147337.52307    8.58562998473644e-10    18972591831.1078    -2020690.73966019    -505782927352.068    0    7376296939.51357    19933803505.3173    -494188653151.213
0.5    13006144380779.4    4073530046.95891    -4135715123304.23    -1.53481960296631e-06    13006144380779.4    -1357843348.9863    -332685829423016    0    5056433422423.51    13930936209945.6    -324737476308009
0.6    8.94871457410083e+15    2748471607498.96    -2.67690142658285e+15    -0.00067138671875    8.94871457410083e+15    -916157202499.654    -2.19816530174399e+17    0    3.47892523571409e+15    9.75348685483957e+15    -2.14347656993215e+17
0.7    6.17854921944829e+18    1.86164995416494e+15    -1.74084130000555e+18    -1.9140625    6.17854921944829e+18    -620549984721648    -1.45865102973725e+20    0    2.40194864570449e+18    6.84151821510139e+18    -1.42089122949966e+20
0.8    4.28011504776861e+21    1.26564929076459e+18    -1.13720650757241e+21    -272    4.28011504776861e+21    -4.21883096921531e+17    -9.71903444429873e+22    0    1.66390640451788e+21    4.80808059400485e+21    -9.45745576828335e+22
0.9    2.97441732493558e+24    8.63505430214965e+20    -7.46083663869701e+23    243712    2.97441732493558e+24    -2.87835143404988e+20    -6.50125308012498e+25    0    1.15631078936351e+24    3.38550795585961e+24    -6.31947121008212e+25
1    2.07331349418811e+27    5.91133957282273e+23    -4.91500796208039e+26    138412032    2.07331349418811e+27    -1.97044652427424e+23    -4.36516013021575e+28    0    8.06008149497585e+26    2.38841198143494e+27    -4.23844930021194e+28
