0.0574618 9.739410470564079e-08 0.0001718124366231903 0.446568391547188 18
0.114924 6.481276188650966e-07 0.001701837289729508 0.4348019217179873 62
0.172385 2.189293642057492e-06 0.004538166950342135 0.3946223798143607 98
0.229847 5.378846891997264e-06 0.0157351881560266 0.4738803270717546 210
0.287309 1.126738673852693e-05 0.03396054119185516 0.5154946475695982 350
0.344771 1.724712914197297e-05 0.05414490254679998 0.4656988484602933 450
0.402233 2.920662932287847e-05 0.08001518917480981 0.4660480193567555 602
0.459694 4.213544913451388e-05 0.1228710948289384 0.4635439775782152 762
0.517156 5.843908327942496e-05 0.1994428627840971 0.4871967816996329 1142
0.574618 8.073933477710301e-05 0.2626653392583141 0.4792288933521027 1250
0.63208 0.0001039682235565304 0.3541312086340468 0.4742910220098089 1458
0.689542 0.0001477921055383406 0.4489989209840232 0.4914241230094915 1814
0.747003 0.0001792616462292841 0.5801938108360228 0.48324077473171 2178
0.804465 0.000234208432529142 0.724482242013112 0.49481679463856 2498
0.861927 0.0002894023711706375 0.9362328215680765 0.5078812363793329 2622
0.919389 0.0003412243880837757 1.076894944677186 0.4877507376844497 3191
0.976851 0.0003562527991874517 1.130417686707132 0.4257699022842661 3044
1.03431 2.488667479147917e-35 8.7557681847475e-32 2.629698183244369e-32 2736
1.09177 2.753718687846267e-35 8.995700450078158e-32 2.493698545572019e-32 2276
1.14924 3.018848278616352e-35 9.889674969851503e-32 2.330217947633931e-32 2016
1.2067 3.189017560848539e-35 9.795442835876656e-32 2.101646556864228e-32 1640
1.26416 3.184102494359574e-35 1.014285660599679e-31 1.883085451512587e-32 1056
1.32162 2.97475634913921e-35 8.839287858688726e-32 1.432418665421608e-32 683
1.37908 2.47091560912187e-35 9.137463864701563e-32 1.212024507105767e-32 350
1.43654 3.00419232922508e-35 8.649472597598158e-32 1.205935945596175e-32 192
1.49401 2.733341537752298e-35 1.109999875959386e-31 1.03035716630162e-32 44
1.55147 2.984127294292279e-35 5.432326187538663e-32 1.058180712353593e-32 25


0.0574618 -nan -nan -nan 18
0.114924 -nan -nan -nan 62
0.172385 -nan -nan -nan 98
0.229847 -nan -nan -nan 210
0.287309 -nan -nan -nan 350
0.344771 -nan -nan -nan 450
0.402233 -nan -nan -nan 602
0.459694 -nan -nan -nan 762
0.517156 -nan -nan -nan 1142
0.574618 -nan -nan -nan 1250
0.63208 -nan -nan -nan 1458
0.689542 -nan -nan -nan 1814
0.747003 -nan -nan -nan 2178
0.804465 -nan -nan -nan 2498
0.861927 -nan -nan -nan 2622
0.919389 -nan -nan -nan 3191
0.976851 -nan -nan -nan 3044
1.03431 -nan -nan -nan 2736
1.09177 -nan -nan -nan 2276
1.14924 -nan -nan -nan 2016
1.2067 -nan -nan -nan 1640
1.26416 -nan -nan -nan 1056
1.32162 -nan -nan -nan 683
1.37908 -nan -nan -nan 350
1.43654 -nan -nan -nan 192
1.49401 -nan -nan -nan 44
1.55147 -nan -nan -nan 25


0.0574618 -nan -nan -nan 18
0.114924 -nan -nan -nan 62
0.172385 -nan -nan -nan 98
0.229847 -nan -nan -nan 210
0.287309 -nan -nan -nan 350
0.344771 -nan -nan -nan 450
0.402233 -nan -nan -nan 602
0.459694 -nan -nan -nan 762
0.517156 -nan -nan -nan 1142
0.574618 -nan -nan -nan 1250
0.63208 -nan -nan -nan 1458
0.689542 -nan -nan -nan 1814
0.747003 -nan -nan -nan 2178
0.804465 -nan -nan -nan 2498
0.861927 -nan -nan -nan 2622
0.919389 -nan -nan -nan 3191
0.976851 -nan -nan -nan 3044
1.03431 -nan -nan -nan 2736
1.09177 -nan -nan -nan 2276
1.14924 -nan -nan -nan 2016
1.2067 -nan -nan -nan 1640
1.26416 -nan -nan -nan 1056
1.32162 -nan -nan -nan 683
1.37908 -nan -nan -nan 350
