0.018171 9.739383705681102e-09 1.718119644636392e-06 0.4466847018245196 18
0.036342 6.481258377469478e-08 1.701832612887483e-05 0.435076447697355 62
0.054513 2.18928762567394e-07 4.538154478925274e-05 0.395725800301574 98
0.072684 5.37883211045494e-07 0.0001573514491378143 0.4745926443906104 210
0.090855 1.126735577486082e-06 0.000339604478638021 0.5166014897349301 350
0.109026 1.724708174568228e-06 0.0005414475374886617 0.4668810536127247 450
0.127197 2.920654906139581e-06 0.0008001496928070225 0.469832476483538 602
0.145368 4.213533334447521e-06 0.001228707571585831 0.4675640896757078 762
0.163539 5.843892268722363e-06 0.001994423146784071 0.4893127602567076 1142
0.18171 8.073911290465373e-06 0.002626646174008969 0.4838594224085111 1250
0.199881 1.039679378528265e-05 0.003541302354032561 0.4790093047952017 1458
0.218052 1.47791699410138e-05 0.00448997687026772 0.502619872162405 1814
0.236223 1.792611536278893e-05 0.005801922163100202 0.4943398758184498 2178
0.254394 2.342077889427076e-05 0.007244802509263254 0.511471090777789 2498
0.272565 2.894015759231057e-05 0.009362302485049491 0.5259614812175916 2622
0.290736 3.412234504440932e-05 0.01076891985000702 0.5102478031563501 3191
0.308907 4.03578194478146e-05 0.01251042570537953 0.5044848464791896 3044
0.327078 4.920163582879376e-05 0.01442548782142747 0.5140209313734259 2736
0.345249 5.647353568711535e-05 0.01759400424161487 0.5164333865358142 2276
0.36342 6.785162993166747e-05 0.01997099963356721 0.5287013144227053 2016
0.381591 7.395939784221906e-05 0.02241910472257391 0.5080095355305563 1640
0.399762 9.134109988140427e-05 0.02552063770926674 0.5405459830813064 1056
0.417933 9.289372544717274e-05 0.03019972498383244 0.5071350976506546 683
0.436104 0.0001116504944624057 0.03184552492199968 0.5257155871962083 350
0.454275 0.0001408871739747971 0.0379386928266398 0.5878018768121211 192
0.472446 0.0001782601189353496 0.03631997233079168 0.6357827543253869 44
0.490617 0.0001049111236124906 0.03219105043829038 0.3667003400134009 25


0.018171 -nan -nan -nan 18
0.036342 -nan -nan -nan 62
0.054513 -nan -nan -nan 98
0.072684 -nan -nan -nan 210
0.090855 -nan -nan -nan 350
0.109026 -nan -nan -nan 450
0.127197 -nan -nan -nan 602
0.145368 -nan -nan -nan 762
0.163539 -nan -nan -nan 1142
0.18171 -nan -nan -nan 1250
0.199881 -nan -nan -nan 1458
0.218052 -nan -nan -nan 1814
0.236223 -nan -nan -nan 2178
0.254394 -nan -nan -nan 2498
0.272565 -nan -nan -nan 2622
0.290736 -nan -nan -nan 3191
0.308907 -nan -nan -nan 3044
0.327078 -nan -nan -nan 2736
0.345249 -nan -nan -nan 2276
0.36342 -nan -nan -nan 2016
0.381591 -nan -nan -nan 1640
0.399762 -nan -nan -nan 1056
0.417933 -nan -nan -nan 683
0.436104 -nan -nan -nan 350
0.454275 -nan -nan -nan 192
0.472446 -nan -nan -nan 44
0.490617 -nan -nan -nan 25


0.018171 -nan -nan -nan 18
0.036342 -nan -nan -nan 62
0.054513 -nan -nan -nan 98
0.072684 -nan -nan -nan 210
0.090855 -nan -nan -nan 350
0.109026 -nan -nan -nan 450
0.127197 -nan -nan -nan 602
0.145368 -nan -nan -nan 762
0.163539 -nan -nan -nan 1142
