0.0910708 1.135509298031787e-06 0.0002341361254486582 0.4466638418625223 18
0.182142 7.556206171487133e-06 0.00231240238484945 0.4350299042935851 62
0.273212 2.552264563567521e-05 0.006174142884803512 0.3955394364103881 98
0.364283 6.270211498586085e-05 0.02138677129127403 0.4744626173647835 210
0.455354 0.0001313328157379742 0.04616591922333228 0.516383535633588 350
0.546425 0.0002010094662949496 0.07360044084512006 0.4666229388649802 450
0.637496 0.0003403499685913933 0.1088120787882271 0.469114449296688 602
0.728566 0.0004909363354596591 0.1671180356604123 0.4667451758056075 762
0.819637 0.0006807749533743919 0.2714618457432337 0.4886830973005909 1142
0.910708 0.0009403679308634253 0.3574514259711393 0.4827217140803417 1250
1.00178 0.0004601031844002339 0.1744615099579143 0.1777475815364184 1458
1.09285 3.399713604791532e-35 1.185239901004493e-32 1.029382332384427e-32 1814
1.18392 3.640126598149098e-35 1.386444384329237e-32 9.14920976323804e-33 2178
1.27499 3.91546290516063e-35 1.492916848382174e-32 7.87973039921247e-33 2498
1.36606 4.594140602234143e-35 1.725712702698328e-32 7.398268037485999e-33 2622
1.45713 4.772657455828402e-35 1.799242212338838e-32 6.388910503543456e-33 3191
1.5482 4.926702804236618e-35 1.900831183092322e-32 5.594394927124598e-33 3044
1.63927 4.600791858250937e-35 1.729087327194611e-32 4.445851094928741e-33 2736
1.73035 4.05642147015266e-35 1.495378367649091e-32 3.373695797226688e-33 2276
1.82142 4.066054102002434e-35 1.540471673111207e-32 2.925980409234805e-33 2016
1.91249 5.056332601894227e-35 1.681469221318416e-32 3.043950466271236e-33 1640
2.00356 4.765024881938298e-35 1.717394240251711e-32 2.676930616035251e-33 1056
2.09463 4.65453406854228e-35 1.603024788963934e-32 2.283815062540202e-33 683
2.1857 4.793896721613755e-35 1.731894827056139e-32 2.085889903195058e-33 350
2.27677 5.270810570768878e-35 1.839275595729265e-32 2.037216936109234e-33 192
2.36784 4.021612368324024e-35 2.014320995299398e-32 1.338838178204327e-33 44
2.45891 7.79775413374838e-35 1.685936115438859e-32 2.134646066156524e-33 25


0.0910708 -nan -nan -nan 18
0.182142 -nan -nan -nan 62
0.273212 -nan -nan -nan 98
0.364283 -nan -nan -nan 210
0.455354 -nan -nan -nan 350
0.546425 -nan -nan -nan 450
0.637496 -nan -nan -nan 602
0.728566 -nan -nan -nan 762
0.819637 -nan -nan -nan 1142
0.910708 -nan -nan -nan 1250
1.00178 -nan -nan -nan 1458
1.09285 -nan -nan -nan 1814
1.18392 -nan -nan -nan 2178
1.27499 -nan -nan -nan 2498
1.36606 -nan -nan -nan 2622
1.45713 -nan -nan -nan 3191
1.5482 -nan -nan -nan 3044
1.63927 -nan -nan -nan 2736
1.73035 -nan -nan -nan 2276
1.82142 -nan -nan -nan 2016
1.91249 -nan -nan -nan 1640
2.00356 -nan -nan -nan 1056
2.09463 -nan -nan -nan 683
2.1857 -nan -nan -nan 350
2.27677 -nan -nan -nan 192
